source,text,date
play_store,myntra is now becoming fraud. they do not refund. it happened to me before. i returned a product it was showing that money has been credited to my account. but did not reflect in my account. it also gave a reference no. so i went to bank and they could not find a reference no.,2026-08-28
play_store,always very nice experience with myntra,2026-08-28
play_store,"Myntra is a great app for shopping for clothes, footwear, accessories, and more. The collection is huge, with plenty of brands and styles to choose from, and the app is easy to navigate. The ordering and delivery experience has been smooth, and the products are generally well packed and as described. I also like the discounts and offers available. Overall, a convenient and reliable platform for online fashion shopping. Highly recommended!",2026-08-28
play_store,Super shopping great savings style and quality everything in an affordable price fashionable too,2026-08-28
play_store,myntra I jest love you and I order every Thing for you,2026-08-28
play_store,nice tshirt for man go for it,2026-08-28
play_store,very very very good I am happy with services,2026-08-28
play_store,exhalent service and product,2026-08-28
play_store,Great experience till now ☺️,2026-08-28
play_store,"Absolutely love these Mynta shoes! ❤️ Super stylish, comfortable, and classy. Highly recommended! ⭐⭐⭐⭐⭐",2026-08-28
play_store,"incompetent devs. I am unable to login my old account. I login with the exact same phone number and everything is blank, no data, no previous orders shown, nothing. upon adding my email in account details it says account already exists. then why don't you give option to login with email. seems like the devs got their job with donation.",2026-08-28
play_store,unique always ❤️,2026-08-28
play_store,best product hai,2026-08-28
play_store,"⭐⭐⭐⭐⭐ “Great shopping experience on Myntra! Product quality was excellent, delivery was quick, and everything was exactly as expected. Definitely a reliable platform for online shopping.”",2026-08-28
play_store,its really good,2026-08-28
play_store,fantastic experience and best part is so affordable price and offers discounts..makes us happy ☺️☺️,2026-08-28
play_store,awesome experience...,2026-08-28
play_store,very feasible and intrigueing app for shopping,2026-08-28
play_store,that's good app.,2026-08-28
play_store,excellent shopping app,2026-08-28
play_store,good experience,2026-08-28
play_store,"Very pathetic service and they are not taking ownership for their own issue and asking customers to wait to resolve their technical issues which is not correct behaviour as a customer supporting platform...over all satisfaction is ""0"" @myntrateam Try looking for a different platform to purchase atleast they will take the responsibility of u r valuable money. Please don't waste u r time for calling them( I have spoke with agent,escalation team and their manager and all of them have same excuse)",2026-08-28
play_store,love this app forever ♾️,2026-08-28
play_store,myntra quality best,2026-08-28
play_store,Obviously The Top Notch Fashion Platform,2026-08-28
play_store,best app for cloths sopping 👺🍌🥀,2026-08-28
play_store,very good experience,2026-08-28
play_store,Maine dot and key lip balm order Kiya tha bohot achha tha,2026-08-28
play_store,bahut achha platform hai,2026-08-28
play_store,myntra is very good online shopping app nice product 👌 👍👍,2026-08-28
play_store,very good app nice product are dilevered,2026-08-28
play_store,Good platform for shopping 🛒🛍️,2026-08-28
play_store,best fashion e-com app compare with others.,2026-08-28
play_store,"nice products , quick delivery",2026-08-28
play_store,"excellent app for online shopping and fashion ,clothes and daily using accessories",2026-08-28
play_store,bohot acha app h mujhe 90 rupey ka off bhi mila,2026-08-28
play_store,Delivered good product,2026-08-28
play_store,"arrival of the ordered item, bang on time super.",2026-08-28
play_store,"weak customer support, when connecting they assign some AI assistant that is aweful, what happen to real human customer care executives, orders getting delayed, delivery boys barely responding.",2026-08-28
play_store,good product and best Service,2026-08-28
play_store,"An absolute go-to app for fashion shopping! The interface is clean, easy to navigate, and offers a massive variety of clothing, footwear, and lifestyle brands. Delivery is usually on time, and the hassle-free exchange and return policy makes online shopping completely stress-free. Highly recommended!",2026-08-28
play_store,Myntra is a good app,2026-08-28
play_store,"best quality product ke liye thank you myntra,",2026-08-28
play_store,mara account deactivate kar diya!,2026-08-28
play_store,very good product,2026-08-28
